Picture Number:   40	 QP:   27  [ PSNR-Y: 42.13 dB,	PSNR-U: 46.83 dB,	PSNR-V: 47.91 dB,	MSE-Y: 3.98,	MSE-U: 1.35,	MSE-V: 1.05,	SSIM-Y: 0.98925,	SSIM-U: 0.99068,	SSIM-V: 0.99091 ]	      5 bytes
Picture Number:   41	 QP:   37  [ PSNR-Y: 42.22 dB,	PSNR-U: 47.16 dB,	PSNR-V: 47.95 dB,	MSE-Y: 3.90,	MSE-U: 1.25,	MSE-V: 1.04,	SSIM-Y: 0.98949,	SSIM-U: 0.99101,	SSIM-V: 0.99097 ]	    116 bytes
Picture Number:   42	 QP:   35  [ PSNR-Y: 42.13 dB,	PSNR-U: 47.33 dB,	PSNR-V: 48.13 dB,	MSE-Y: 3.98,	MSE-U: 1.20,	MSE-V: 1.00,	SSIM-Y: 0.98946,	SSIM-U: 0.99138,	SSIM-V: 0.99124 ]	      5 bytes
Picture Number:   43	 QP:   37  [ PSNR-Y: 42.06 dB,	PSNR-U: 47.39 dB,	PSNR-V: 48.14 dB,	MSE-Y: 4.05,	MSE-U: 1.19,	MSE-V: 1.00,	SSIM-Y: 0.98942,	SSIM-U: 0.99111,	SSIM-V: 0.99119 ]	     23 bytes
Picture Number:   44	 QP:   32  [ PSNR-Y: 42.34 dB,	PSNR-U: 47.53 dB,	PSNR-V: 48.20 dB,	MSE-Y: 3.80,	MSE-U: 1.15,	MSE-V: 0.98,	SSIM-Y: 0.98950,	SSIM-U: 0.99140,	SSIM-V: 0.99120 ]	      5 bytes
Picture Number:   45	 QP:   37  [ PSNR-Y: 42.68 dB,	PSNR-U: 47.60 dB,	PSNR-V: 48.25 dB,	MSE-Y: 3.51,	MSE-U: 1.13,	MSE-V: 0.97,	SSIM-Y: 0.99000,	SSIM-U: 0.99130,	SSIM-V: 0.99142 ]	     50 bytes
Picture Number:   46	 QP:   35  [ PSNR-Y: 43.30 dB,	PSNR-U: 47.77 dB,	PSNR-V: 48.33 dB,	MSE-Y: 3.04,	MSE-U: 1.09,	MSE-V: 0.95,	SSIM-Y: 0.99055,	SSIM-U: 0.99151,	SSIM-V: 0.99143 ]	      5 bytes
Picture Number:   47	 QP:   37  [ PSNR-Y: 44.03 dB,	PSNR-U: 47.75 dB,	PSNR-V: 48.21 dB,	MSE-Y: 2.57,	MSE-U: 1.09,	MSE-V: 0.98,	SSIM-Y: 0.99110,	SSIM-U: 0.99141,	SSIM-V: 0.99128 ]	     23 bytes
Picture Number:   48	 QP:   14  [ PSNR-Y: 44.76 dB,	PSNR-U: 47.83 dB,	PSNR-V: 48.16 dB,	MSE-Y: 2.17,	MSE-U: 1.07,	MSE-V: 0.99,	SSIM-Y: 0.99146,	SSIM-U: 0.99143,	SSIM-V: 0.99111 ]	      5 bytes
Picture Number:   49	 QP:   37  [ PSNR-Y: 43.97 dB,	PSNR-U: 47.75 dB,	PSNR-V: 48.28 dB,	MSE-Y: 2.60,	MSE-U: 1.09,	MSE-V: 0.97,	SSIM-Y: 0.99103,	SSIM-U: 0.99131,	SSIM-V: 0.99127 ]	    793 bytes
Picture Number:   50	 QP:   35  [ PSNR-Y: 43.53 dB,	PSNR-U: 47.82 dB,	PSNR-V: 48.26 dB,	MSE-Y: 2.89,	MSE-U: 1.08,	MSE-V: 0.97,	SSIM-Y: 0.99077,	SSIM-U: 0.99138,	SSIM-V: 0.99136 ]	      5 bytes
Picture Number:   51	 QP:   37  [ PSNR-Y: 43.49 dB,	PSNR-U: 47.67 dB,	PSNR-V: 48.16 dB,	MSE-Y: 2.91,	MSE-U: 1.11,	MSE-V: 0.99,	SSIM-Y: 0.99070,	SSIM-U: 0.99123,	SSIM-V: 0.99116 ]	     23 bytes
Picture Number:   52	 QP:   33  [ PSNR-Y: 43.36 dB,	PSNR-U: 47.69 dB,	PSNR-V: 48.15 dB,	MSE-Y: 3.00,	MSE-U: 1.11,	MSE-V: 0.99,	SSIM-Y: 0.99060,	SSIM-U: 0.99145,	SSIM-V: 0.99120 ]	      5 bytes
Picture Number:   53	 QP:   37  [ PSNR-Y: 41.97 dB,	PSNR-U: 47.68 dB,	PSNR-V: 47.78 dB,	MSE-Y: 4.13,	MSE-U: 1.11,	MSE-V: 1.08,	SSIM-Y: 0.98956,	SSIM-U: 0.99130,	SSIM-V: 0.99045 ]	     65 bytes
Picture Number:   54	 QP:   35  [ PSNR-Y: 42.55 dB,	PSNR-U: 47.58 dB,	PSNR-V: 47.85 dB,	MSE-Y: 3.62,	MSE-U: 1.14,	MSE-V: 1.07,	SSIM-Y: 0.99011,	SSIM-U: 0.99126,	SSIM-V: 0.99067 ]	      5 bytes
Picture Number:   55	 QP:   37  [ PSNR-Y: 42.52 dB,	PSNR-U: 47.45 dB,	PSNR-V: 47.85 dB,	MSE-Y: 3.64,	MSE-U: 1.17,	MSE-V: 1.07,	SSIM-Y: 0.99005,	SSIM-U: 0.99105,	SSIM-V: 0.99076 ]	     23 bytes
Picture Number:   56	 QP:   28  [ PSNR-Y: 42.65 dB,	PSNR-U: 47.43 dB,	PSNR-V: 47.78 dB,	MSE-Y: 3.53,	MSE-U: 1.18,	MSE-V: 1.09,	SSIM-Y: 0.98999,	SSIM-U: 0.99116,	SSIM-V: 0.99063 ]	      5 bytes
Picture Number:   57	 QP:   37  [ PSNR-Y: 42.25 dB,	PSNR-U: 47.36 dB,	PSNR-V: 47.73 dB,	MSE-Y: 3.87,	MSE-U: 1.20,	MSE-V: 1.10,	SSIM-Y: 0.98980,	SSIM-U: 0.99105,	SSIM-V: 0.99063 ]	    123 bytes
Picture Number:   58	 QP:   35  [ PSNR-Y: 41.56 dB,	PSNR-U: 47.31 dB,	PSNR-V: 47.79 dB,	MSE-Y: 4.54,	MSE-U: 1.21,	MSE-V: 1.08,	SSIM-Y: 0.98926,	SSIM-U: 0.99097,	SSIM-V: 0.99064 ]	      5 bytes
Picture Number:   59	 QP:   37  [ PSNR-Y: 41.94 dB,	PSNR-U: 47.38 dB,	PSNR-V: 47.84 dB,	MSE-Y: 4.16,	MSE-U: 1.19,	MSE-V: 1.07,	SSIM-Y: 0.98945,	SSIM-U: 0.99128,	SSIM-V: 0.99070 ]	     39 bytes
Picture Number:   60	 QP:   33  [ PSNR-Y: 41.83 dB,	PSNR-U: 47.45 dB,	PSNR-V: 47.92 dB,	MSE-Y: 4.27,	MSE-U: 1.17,	MSE-V: 1.05,	SSIM-Y: 0.98887,	SSIM-U: 0.99123,	SSIM-V: 0.99088 ]	      5 bytes
Picture Number:   61	 QP:   37  [ PSNR-Y: 41.69 dB,	PSNR-U: 47.50 dB,	PSNR-V: 47.94 dB,	MSE-Y: 4.41,	MSE-U: 1.16,	MSE-V: 1.04,	SSIM-Y: 0.98898,	SSIM-U: 0.99144,	SSIM-V: 0.99081 ]	     62 bytes
Picture Number:   62	 QP:   35  [ PSNR-Y: 42.07 dB,	PSNR-U: 47.37 dB,	PSNR-V: 48.01 dB,	MSE-Y: 4.04,	MSE-U: 1.19,	MSE-V: 1.03,	SSIM-Y: 0.98930,	SSIM-U: 0.99112,	SSIM-V: 0.99088 ]	      5 bytes
Picture Number:   63	 QP:   37  [ PSNR-Y: 42.53 dB,	PSNR-U: 47.29 dB,	PSNR-V: 48.01 dB,	MSE-Y: 3.63,	MSE-U: 1.21,	MSE-V: 1.03,	SSIM-Y: 0.98975,	SSIM-U: 0.99112,	SSIM-V: 0.99086 ]	     26 bytes
Picture Number:   64	 QP:   18  [ PSNR-Y: 43.02 dB,	PSNR-U: 47.08 dB,	PSNR-V: 47.96 dB,	MSE-Y: 3.24,	MSE-U: 1.27,	MSE-V: 1.04,	SSIM-Y: 0.98996,	SSIM-U: 0.99083,	SSIM-V: 0.99073 ]	      5 bytes
